County,Price(€),NotFullMarketPrice,VATExclusive,DescriptionofProperty,log_price,SaleYear,SaleMonth,Region,YearMonth,SaleMonthIndex,Region_Encoded
Cork,55000.0,1,0,0,10.915106645867503,2016,8,Cork,201608,8,12.000150643676768
Dublin,194000.0,0,0,0,12.175618592671356,2016,10,DUBLIN22,201610,10,12.18459303820431
Clare,81000.0,0,0,0,11.302216779257382,2016,11,Clare,201611,11,11.657350873570417
Galway,490100.0,0,0,0,13.102366771295475,2016,12,Galway,201612,12,11.821055771589778
Dublin,670000.0,0,0,0,13.415034483903348,2016,11,DUBLIN2,201611,11,12.625593792335566
Wexford,121000.0,0,0,0,11.703554089007538,2016,9,Wexford,201609,9,11.66416800178687
Kildare,215000.0,0,0,0,12.278397958261774,2016,3,Kildare,201603,3,12.288557581795198
Kildare,395000.0,0,1,1,12.886643575525625,2016,10,Kildare,201610,10,12.288557581795198
Dublin,295000.0,0,0,0,12.59473402514672,2016,2,DUBLIN3,201602,2,12.637029441038866
Cork,275000.0,0,0,0,12.524530013005734,2016,7,Cork,201607,7,12.000150643676768
