Date of Sale (dd/mm/yyyy),Address,County,Eircode,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
29/09/2017,"KYLEMALAWN, ERRILL, LAOIS",Laois,,"€69,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/12/2017,"138 GLENVARA PARK, KNOCKLYON, DUBLIN 16",Dublin,,"€440,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/02/2017,"41 BEECH LAWN, BALLINTEER, DUBLIN 16",Dublin,,"€483,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/09/2017,"190 THE CRESCENT BUILDING, PARKWEST POINTE, CLONDALKIN DUBLIN 22",Dublin,,"€185,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/06/2017,"AGHANASHANAMORE, MOUNT TEMPLE, MOATE",Westmeath,,"€135,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/02/2017,"78 CRANNAGH ROAD, RATHFARNHAM, DUBLIN 14",Dublin,,"€925,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/01/2017,"26 ST CONLETHS RD, WALKINSTOWN DUBLIN 12, DUBLIN",Dublin,,"€300,000.00",No,No,Second-Hand Dwelling house /Apartment,
11/12/2017,"55 OLDCOURT, GREENFIELDS, BALLINCOLLIG",Cork,,"€320,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/06/2017,"1 & 2 LAKEVIEW COTTAGES, DUBLIN ROAD, VIRGINIA",Cavan,,"€150,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/08/2017,"GORSE LODGE, ARDKILLY, SANDYCOVE",Cork,,"€520,000.00",No,No,Second-Hand Dwelling house /Apartment,
31/05/2017,"31 Abbot's Grove Avenue, Knocklyon, Dublin 16",Dublin,,"€325,110.13",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
03/11/2017,"18 Oaktree Green, Cunnaberry HIll, Tully Road",Kildare,,"€235,682.81",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
24/11/2017,"15 Waverly Avenue, Waverly, Blacklion",Wicklow,,"€387,665.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
23/08/2017,"65 MARLFIELD GREEN, KILTIPPER, TALLAGHT",Dublin,,"€250,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/09/2017,"117 DEERPARK, FRIARS WALK, CORK",Cork,,"€292,500.00",No,No,Second-Hand Dwelling house /Apartment,
24/03/2017,"11 MERVILLE AVE, FAIRVIEW, DUBLIN 3",Dublin,,"€1,250,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
10/03/2017,"27 SYCAMORE DR, CASTLEKNOCK, DUBLIN 15",Dublin,,"€390,500.00",No,No,Second-Hand Dwelling house /Apartment,
13/11/2017,"8 DRAYTON CLOSE, MONKSTOWN, DUBLIN",Dublin,,"€65,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
25/04/2017,"7 THE HAVEN, OFF MOBHI RD, GLASNEVIN",Dublin,,"€395,000.00",No,No,Second-Hand Dwelling house /Apartment,
