Price(€),NotFullMarketPrice,VATExclusive,DescriptionofProperty,SaleYear,SaleMonthIndex,Region_Encoded
85000.0,0,0,0,2016,4,139912.4143478261
29000.0,0,0,0,2016,5,101768.53846153847
257709.0,0,1,1,2016,7,357260.4677191011
173745.0,1,1,1,2016,8,140133.58445454546
74000.0,0,0,0,2016,9,106261.99716666665
208000.0,0,0,0,2016,2,198460.38056851312
185500.0,0,0,0,2016,12,129100.70456140352
460000.0,0,1,1,2016,7,92577.4161627907
675500.0,0,0,0,2016,12,357260.4677191011
147900.0,0,0,0,2016,12,140133.58445454546
42500.0,0,0,0,2016,12,101768.53846153847
180000.0,0,0,0,2016,8,357260.4677191011
240000.0,0,0,0,2016,2,357260.4677191011
165000.0,0,0,0,2016,12,270962.0605084746
40000.0,0,0,0,2016,12,140133.58445454546
440088.1,0,1,1,2016,12,357260.4677191011
127000.0,0,0,0,2016,3,101768.53846153847
301000.0,0,0,0,2016,5,340899.4952083333
380000.0,0,0,0,2016,10,264083.47983050847
675000.0,0,0,0,2016,11,142117.9899404762
200000.0,0,0,0,2016,9,221569.53396135266
280000.0,0,0,0,2016,1,206578.08441176472
96000.0,0,0,0,2016,6,129100.70456140352
60000.0,0,0,0,2016,3,139043.13263157895
175000.0,0,0,0,2016,12,221569.53396135266
286000.0,0,1,1,2016,2,357260.4677191011
530000.0,0,0,0,2016,11,495566.8431372549
435000.0,0,0,0,2016,9,357260.4677191011
150732.0,0,1,1,2016,9,140133.58445454546
210000.0,0,0,0,2016,8,198460.38056851312
320000.0,0,0,0,2016,6,357260.4677191011
337000.0,0,0,0,2016,1,142117.9899404762
80664.22,0,0,0,2016,5,169894.25173144878
68000.0,0,0,0,2016,12,130047.27415584415
675500.0,0,0,0,2016,6,287404.2686567164
140000.0,0,0,0,2016,11,169894.25173144878
220000.0,0,0,0,2016,10,169894.25173144878
96000.0,0,0,0,2016,4,98776.01653846154
150000.0,0,0,0,2016,11,99353.24882352941
60000.0,0,0,0,2016,2,124480.02530612245
45000.0,0,0,0,2016,2,140133.58445454546
135000.0,0,0,0,2016,10,138927.53039408868
68000.0,0,0,0,2016,3,98776.01653846154
76000.0,0,0,0,2016,7,250783.76666666666
155000.0,0,0,0,2016,7,140133.58445454546
382500.0,0,0,1,2016,5,357260.4677191011
118000.0,0,0,0,2016,12,139912.4143478261
46000.0,0,0,0,2016,10,198460.38056851312
96000.0,0,0,0,2016,6,99353.24882352941
550000.0,0,0,0,2016,5,357260.4677191011
280000.0,0,0,0,2016,1,350585.13441860466
190000.0,0,0,0,2016,8,142117.9899404762
200000.0,0,0,0,2016,2,98776.01653846154
254000.0,0,0,0,2016,5,198460.38056851312
330396.48,0,1,1,2016,5,169894.25173144878
125000.0,0,0,0,2016,3,106261.99716666665
292000.0,0,0,0,2016,10,142117.9899404762
125000.0,0,0,0,2016,11,178090.23692307694
95000.0,0,0,0,2016,5,142117.9899404762
675500.0,0,0,0,2016,7,302309.9607878788
130000.0,0,0,0,2016,8,101768.53846153847
198237.89,0,1,1,2016,12,221569.53396135266
258000.0,0,0,0,2016,10,140133.58445454546
128000.0,0,0,0,2016,9,178090.23692307694
198000.0,0,0,0,2016,8,302309.9607878788
178000.0,0,0,0,2016,1,357260.4677191011
200000.0,0,0,0,2016,10,198460.38056851312
249000.0,0,0,0,2016,3,287404.2686567164
131923.31,0,0,0,2016,12,264083.47983050847
219000.0,0,0,0,2016,9,495566.8431372549
32000.0,0,0,0,2016,4,98776.01653846154
202000.0,0,0,0,2016,11,357260.4677191011
510000.0,0,0,0,2016,2,357260.4677191011
42050.0,0,0,0,2016,6,138927.53039408868
300000.0,0,0,0,2016,7,247009.80948717947
170000.0,0,0,0,2016,12,130047.27415584415
575000.0,0,0,0,2016,10,357260.4677191011
68000.0,0,0,0,2016,3,121959.42273584906
250000.0,0,0,0,2016,11,138927.53039408868
220264.32,0,1,1,2016,10,198460.38056851312
45000.0,0,0,0,2016,1,357260.4677191011
155903.0,0,1,1,2016,3,247009.80948717947
220000.0,0,0,0,2016,1,198460.38056851312
185000.0,0,0,0,2016,10,198460.38056851312
160000.0,0,0,0,2016,1,221569.53396135266
396475.77,0,1,1,2016,3,340899.4952083333
300000.0,0,0,0,2016,1,287404.2686567164
81500.0,0,0,0,2016,10,138927.53039408868
229074.88,0,1,1,2016,7,198460.38056851312
72000.0,0,0,0,2016,6,106261.99716666665
160000.0,0,0,0,2016,3,357260.4677191011
206000.0,0,0,0,2016,1,169894.25173144878
220000.0,0,0,0,2016,3,198460.38056851312
255000.0,0,0,0,2016,8,140133.58445454546
